timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1593669699159,690,Launch_Wikipedia,200,OK,RecordAndPlayback 2-1,text,true,,18753,341,1,3,https://www.wikipedia.org/,689,0,438
1593669699853,899,SearchForApcheJMeter,200,OK,RecordAndPlayback 2-1,text,true,,1387,532,1,3,https://en.wikipedia.org/w/api.php?action=query&format=json&generator=prefixsearch&prop=pageprops%7Cpageimages%7Cdescription&redirects=&ppprop=displaytitle&piprop=thumbnail&pithumbsize=80&pilimit=6&gpssearch=Apche+jmet&gpsnamespace=0&gpslimit=6&callback=callbackStack.queue%5B11%5D,899,0,481
